"","cancer","ceRNA","drug","train_database","method_DE","log2FC","DE_pvalue","method_scc","scc_r","scc_pvalue","fdr"
"1","BLCA","AC129507.1-MIR210-BTK","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.409781562362897,1.123370673566e-05,"spearman",-0.304510508099115,1.10992202155051e-07,1.31120031755941e-06
"2","BLCA","AC129507.1-MIR210-BTK","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",1.65903417099883,1.10998189361296e-09,"spearman",-0.443060384155455,1.80485447340263e-15,6.94504408857616e-13
"3","BLCA","AL390955.2-MIR141-TNFAIP3","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.421207266325049,1.31879356029957e-06,"spearman",-0.329300203929855,8.18902850123624e-09,1.55569409014026e-07
"4","BLCA","INHBA-AS1-MIR141-TNFAIP3","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.434014659588258,5.55703255123468e-07,"spearman",-0.327720241592533,9.73827779518944e-09,1.79424258512154e-07
"5","BLCA","LINC00460-MIR149-BIRC5","Camptothecin_1003","GDSC2","Wilcoxon rank-sum test",0.586547968944158,1.62108747784489e-05,"spearman",-0.315591452008524,3.56440452273708e-08,5.16049421015838e-07
"6","BLCA","LINC00460-MIR149-BIRC5","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.450636688271315,2.24411226088906e-07,"spearman",-0.419515185809451,7.09404737596542e-14,1.01034392355681e-11
"7","BLCA","LINC00460-MIR149-HLA-A","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.6021952717444,2.16981439677871e-08,"spearman",-0.362754147160141,1.64624145421683e-10,6.11897096940967e-09
"8","BLCA","LINC00460-MIR149-HLA-A","Sepantronium.bromide_1941","GDSC2","Wilcoxon rank-sum test",1.36879791481759,1.20460345290916e-08,"spearman",-0.342059918071386,1.94817928575915e-09,4.60294191583229e-08
"9","BLCA","LINC00460-MIR149-HLA-C","Vinblastine_1004","GDSC2","Wilcoxon rank-sum test",0.334848551891765,1.47526669734531e-05,"spearman",-0.310849155047903,5.82895962308656e-08,7.79355429835838e-07
"10","BLCA","LINC00460-MIR149-HLA-C","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",0.390982389200894,6.41498756594869e-07,"spearman",-0.302596526878398,1.34417446639441e-07,1.52412328286433e-06
"11","BLCA","LINC00460-MIR149-HLA-C","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",0.867664039679133,1.23850625742989e-06,"spearman",-0.323055544978559,1.61493909696125e-08,2.69309772539517e-07
"12","BLCA","LINC00460-MIR149-HLA-C","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.48633880084329,4.31882697524177e-08,"spearman",-0.3695048953287,7.06917690287734e-11,2.98433900602551e-09
"13","BLCA","LINC00460-MIR149-HLA-C","Vincristine_1818","GDSC2","Wilcoxon rank-sum test",1.97861542738274,7.93968598691956e-06,"spearman",-0.317423012985285,2.94093114908507e-08,4.43125510116161e-07
