lncRNA,miRNA,gene,DE_type,cancer,ceRNA
AC092368.3,MIR125B1,ADRM1,gene_sig,BLCA,AC092368.3-MIR125B1-ADRM1
AC092368.3,MIR125B1,HDGF,gene_sig,BLCA,AC092368.3-MIR125B1-HDGF
AC092368.3,MIR125B1,TOR2A,gene_sig,BLCA,AC092368.3-MIR125B1-TOR2A
AC100861.1,MIR425,HDGF,lnc_gene_sig,BLCA,AC100861.1-MIR425-HDGF
AC100861.1,MIR425,MICA,lnc_sig,BLCA,AC100861.1-MIR425-MICA
AC100861.1,MIR425,RAC1,lnc_sig,BLCA,AC100861.1-MIR425-RAC1
AC129507.1,MIR210,BTK,lnc_sig,BLCA,AC129507.1-MIR210-BTK
AL390955.2,MIR141,HMGB1,lnc_sig,BLCA,AL390955.2-MIR141-HMGB1
AL390955.2,MIR141,ICAM1,lnc_sig,BLCA,AL390955.2-MIR141-ICAM1
AL390955.2,MIR141,MICB,lnc_gene_sig,BLCA,AL390955.2-MIR141-MICB
AL390955.2,MIR141,PSMC2,lnc_sig,BLCA,AL390955.2-MIR141-PSMC2
AL390955.2,MIR141,SHC1,lnc_sig,BLCA,AL390955.2-MIR141-SHC1
AL390955.2,MIR141,TNFAIP3,lnc_gene_sig,BLCA,AL390955.2-MIR141-TNFAIP3
INHBA-AS1,MIR141,HDGF,gene_sig,BLCA,INHBA-AS1-MIR141-HDGF
INHBA-AS1,MIR141,MICB,gene_sig,BLCA,INHBA-AS1-MIR141-MICB
INHBA-AS1,MIR141,TNFAIP3,gene_sig,BLCA,INHBA-AS1-MIR141-TNFAIP3
LINC00460,MIR149,BIRC5,lnc_gene_sig,BLCA,LINC00460-MIR149-BIRC5
LINC00460,MIR149,CD3D,lnc_sig,BLCA,LINC00460-MIR149-CD3D
LINC00460,MIR149,FASLG,lnc_sig,BLCA,LINC00460-MIR149-FASLG
LINC00460,MIR149,HLA-A,lnc_sig,BLCA,LINC00460-MIR149-HLA-A
LINC00460,MIR149,HLA-C,lnc_gene_sig,BLCA,LINC00460-MIR149-HLA-C
LINC00460,MIR149,HSPA8,lnc_sig,BLCA,LINC00460-MIR149-HSPA8
LINC00460,MIR149,IFI30,lnc_sig,BLCA,LINC00460-MIR149-IFI30
LINC00460,MIR149,MICB,lnc_gene_sig,BLCA,LINC00460-MIR149-MICB
LINC00460,MIR149,PLXND1,lnc_sig,BLCA,LINC00460-MIR149-PLXND1
LINC00460,MIR149,PSMD1,lnc_sig,BLCA,LINC00460-MIR149-PSMD1
LINC00460,MIR149,S1PR2,lnc_gene_sig,BLCA,LINC00460-MIR149-S1PR2
LINC00943,MIR149,BIRC5,gene_sig,BLCA,LINC00943-MIR149-BIRC5
LINC00943,MIR149,HLA-C,gene_sig,BLCA,LINC00943-MIR149-HLA-C
LINC00943,MIR149,MICB,gene_sig,BLCA,LINC00943-MIR149-MICB
LINC00943,MIR149,S1PR2,gene_sig,BLCA,LINC00943-MIR149-S1PR2
MSC-AS1,MIR200C,EDNRA,gene_sig,BLCA,MSC-AS1-MIR200C-EDNRA
NR2F1-AS1,MIR25,BMPR1A,lnc_miR_gene_sig,BLCA,NR2F1-AS1-MIR25-BMPR1A
NR2F1-AS1,MIR25,C3,lnc_miR_gene_sig,BLCA,NR2F1-AS1-MIR25-C3
NR2F1-AS1,MIR25,CCL26,lnc_miR_sig,BLCA,NR2F1-AS1-MIR25-CCL26
NR2F1-AS1,MIR25,CCR4,lnc_miR_sig,BLCA,NR2F1-AS1-MIR25-CCR4
NR2F1-AS1,MIR25,ENG,lnc_miR_sig,BLCA,NR2F1-AS1-MIR25-ENG
NR2F1-AS1,MIR25,FGF2,lnc_miR_gene_sig,BLCA,NR2F1-AS1-MIR25-FGF2
NR2F1-AS1,MIR25,HSPA8,lnc_miR_sig,BLCA,NR2F1-AS1-MIR25-HSPA8
NR2F1-AS1,MIR25,IL6ST,lnc_miR_gene_sig,BLCA,NR2F1-AS1-MIR25-IL6ST
NR2F1-AS1,MIR25,ITGAV,lnc_miR_sig,BLCA,NR2F1-AS1-MIR25-ITGAV
NR2F1-AS1,MIR25,NRAS,lnc_miR_gene_sig,BLCA,NR2F1-AS1-MIR25-NRAS
NR2F1-AS1,MIR25,OSMR,lnc_miR_sig,BLCA,NR2F1-AS1-MIR25-OSMR
NR2F1-AS1,MIR25,PDGFRL,lnc_miR_sig,BLCA,NR2F1-AS1-MIR25-PDGFRL
