"","Cancer","lncRNA","gene","miRNA","scc_r","pvalue","fdr","condi","imd_cancer","Accession","DEsig","lm_DEsig","ce","scdataset","scCancer"
"1","BRCA","AFAP1-AS1","VEGFA","MIR145",0.997395393095752,0.0459579367853602,0.82057412811776,"NR","BRCA","GSE139050","nosig","nosig","AFAP1-AS1_VEGFA","GSE115978; GSE120575; GSE153697; GSE192580; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","SKCM; SKCM; LAML; THCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"2","BRCA","AGAP2-AS1","LTBR","MIR98",0.976852157621411,0.000797532341553659,0.0455875286667283,"all","BRCA","GSE139050","nosig","nosig","AGAP2-AS1_LTBR","GSE120575; GSE192580; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","SKCM; THCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"3","BRCA","AGAP2-AS1","NR2F6","MIR4677",0.841741089510044,0.0355869570661068,0.380585806953623,"all","BRCA","GSE139050","nosig","nosig","AGAP2-AS1_NR2F6","GSE120575; GSE192580; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","SKCM; THCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"4","BRCA","AGAP2-AS1","NR2F6","MIR98",0.841741089510044,0.0355869570661068,0.380585806953623,"all","BRCA","GSE139050","nosig","nosig","AGAP2-AS1_NR2F6","GSE120575; GSE192580; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","SKCM; THCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"5","BRCA","HCG11","PSMD7","MIR26B",0.997863486076606,0.0416222293360123,0.82057412811776,"NR","BRCA","GSE139050","nosig","nosig","HCG11_PSMD7","GSE115978; GSE120575; GSE145281; GSE146100; GSE153697; GSE166181; GSE192580; GSE203115; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","SKCM; SKCM; BLCA; LUAD; LAML; SKCM; THCA; ESCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"6","BRCA","HCG18","KRAS","MIR193A",0.935186708440953,0.00616501151322188,0.14403842000392,"all","BRCA","GSE139050","nosig","nosig","HCG18_KRAS","GSE115978; GSE120575; GSE145281; GSE153697; GSE166181; GSE192580; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","SKCM; SKCM; BLCA; LAML; SKCM; THCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"7","BRCA","IQCH-AS1","IREB2","MIR9-1",0.998137648976255,0.0388591516907023,0.819333550900976,"NR","BRCA","GSE139050","nosig","nosig","IQCH-AS1_IREB2","GSE115978; GSE120575; GSE145281; GSE146100; GSE153697; GSE192580; GSE203115; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","SKCM; SKCM; BLCA; LUAD; LAML; THCA; ESCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"8","BRCA","LINC01356","GLP2R","MIR149",1,0,0,"NR","BRCA","GSE139050","nosig","nosig","LINC01356_GLP2R","GSE203115; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","ESCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"9","BRCA","LINC01356","GLP2R","MIR149",1,0,0,"all","BRCA","GSE139050","nosig","nosig","LINC01356_GLP2R","GSE203115; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","ESCA; COAD; READ; LUSC; 0V; LAML; BRCA"
"10","BRCA","LINC01503","BMP2","MIR342",0.945389710032549,0.00439199396476214,0.120192603640127,"all","BRCA","GSE139050","nosig","nosig","LINC01503_BMP2","GSE145281; GSE146100; GSE153697; GSE203115; GSE205506; GSE205506; GSE207422; GSE222649; GSE244663; GSE246613","BLCA; LUAD; LAML; ESCA; COAD; READ; LUSC; 0V; LAML; BRCA"
