"","lncRNA","MIRNA","miRNA"
"2","AC022150.4","MIRLET7A1","hsa-let-7a-3p"
"3","AC022150.4","MIRLET7A3","hsa-let-7a-3p"
"4","AC051619.7","MIRLET7A1","hsa-let-7a-3p"
"5","AC051619.7","MIRLET7A3","hsa-let-7a-3p"
"6","AL158206.1","MIRLET7A1","hsa-let-7a-3p"
"7","AL158206.1","MIRLET7A3","hsa-let-7a-3p"
"8","BHLHE40-AS1","MIRLET7A1","hsa-let-7a-3p"
"9","BHLHE40-AS1","MIRLET7A3","hsa-let-7a-3p"
"10","FGD5-AS1","MIRLET7A1","hsa-let-7a-3p"
"11","FGD5-AS1","MIRLET7A3","hsa-let-7a-3p"
"12","HINT1P1","MIRLET7A1","hsa-let-7a-3p"
"13","HINT1P1","MIRLET7A3","hsa-let-7a-3p"
"14","LDHBP2","MIRLET7A1","hsa-let-7a-3p"
"15","LDHBP2","MIRLET7A3","hsa-let-7a-3p"
"16","LINC00662","MIRLET7A1","hsa-let-7a-3p"
"17","LINC00662","MIRLET7A3","hsa-let-7a-3p"
"18","MLLT10P1","MIRLET7A1","hsa-let-7a-3p"
"19","MLLT10P1","MIRLET7A3","hsa-let-7a-3p"
"20","NEAT1","MIRLET7A1","hsa-let-7a-3p"
"21","NEAT1","MIRLET7A3","hsa-let-7a-3p"
"22","OIP5-AS1","MIRLET7A1","hsa-let-7a-3p"
"23","OIP5-AS1","MIRLET7A3","hsa-let-7a-3p"
"24","OR2E1P","MIRLET7A1","hsa-let-7a-3p"
"25","OR2E1P","MIRLET7A3","hsa-let-7a-3p"
"26","OVCH1-AS1","MIRLET7A1","hsa-let-7a-3p"
"27","OVCH1-AS1","MIRLET7A3","hsa-let-7a-3p"
"28","PSMA3-AS1","MIRLET7A1","hsa-let-7a-3p"
"29","PSMA3-AS1","MIRLET7A3","hsa-let-7a-3p"
"30","RBM22P5","MIRLET7A1","hsa-let-7a-3p"
"31","RBM22P5","MIRLET7A3","hsa-let-7a-3p"
"32","SCGB1B2P","MIRLET7A1","hsa-let-7a-3p"
"33","SCGB1B2P","MIRLET7A3","hsa-let-7a-3p"
"34","SNHG1","MIRLET7A1","hsa-let-7a-3p"
"35","SNHG1","MIRLET7A3","hsa-let-7a-3p"
"36","TPI1P2","MIRLET7A1","hsa-let-7a-3p"
"37","TPI1P2","MIRLET7A3","hsa-let-7a-3p"
"38","XLOC_013282","MIRLET7A1","hsa-let-7a-3p"
"39","XLOC_013282","MIRLET7A3","hsa-let-7a-3p"
"40","ZFAS1","MIRLET7A1","hsa-let-7a-3p"
"41","ZFAS1","MIRLET7A3","hsa-let-7a-3p"
"42","AC002091.1","MIRLET7A1","hsa-let-7a-5p"
"43","AC002091.1","MIRLET7A2","hsa-let-7a-5p"
"44","AC002091.1","MIRLET7A3","hsa-let-7a-5p"
"45","AC004461.1","MIRLET7A1","hsa-let-7a-5p"
"46","AC004461.1","MIRLET7A2","hsa-let-7a-5p"
"47","AC004461.1","MIRLET7A3","hsa-let-7a-5p"
"48","AC004987.2","MIRLET7A1","hsa-let-7a-5p"
"49","AC004987.2","MIRLET7A2","hsa-let-7a-5p"
"50","AC004987.2","MIRLET7A3","hsa-let-7a-5p"
"51","AC005261.1","MIRLET7A1","hsa-let-7a-5p"
"52","AC005261.1","MIRLET7A2","hsa-let-7a-5p"
"53","AC005261.1","MIRLET7A3","hsa-let-7a-5p"
"54","AC005537.1","MIRLET7A1","hsa-let-7a-5p"
"55","AC005537.1","MIRLET7A2","hsa-let-7a-5p"
"56","AC005537.1","MIRLET7A3","hsa-let-7a-5p"
"57","AC005682.1","MIRLET7A1","hsa-let-7a-5p"
"58","AC005682.1","MIRLET7A2","hsa-let-7a-5p"
"59","AC005682.1","MIRLET7A3","hsa-let-7a-5p"
"60","AC005865.2","MIRLET7A1","hsa-let-7a-5p"
"61","AC005865.2","MIRLET7A2","hsa-let-7a-5p"
"62","AC005865.2","MIRLET7A3","hsa-let-7a-5p"
"63","AC006015.1","MIRLET7A1","hsa-let-7a-5p"
"64","AC006015.1","MIRLET7A2","hsa-let-7a-5p"
"65","AC006015.1","MIRLET7A3","hsa-let-7a-5p"
"66","AC006116.2","MIRLET7A1","hsa-let-7a-5p"
"67","AC006116.2","MIRLET7A2","hsa-let-7a-5p"
"68","AC006116.2","MIRLET7A3","hsa-let-7a-5p"
"69","AC006504.1","MIRLET7A1","hsa-let-7a-5p"
"70","AC006504.1","MIRLET7A2","hsa-let-7a-5p"
"71","AC006504.1","MIRLET7A3","hsa-let-7a-5p"
"72","AC007386.1","MIRLET7A1","hsa-let-7a-5p"
"73","AC007386.1","MIRLET7A2","hsa-let-7a-5p"
"74","AC007386.1","MIRLET7A3","hsa-let-7a-5p"
"75","AC007620.3","MIRLET7A1","hsa-let-7a-5p"
"76","AC007620.3","MIRLET7A2","hsa-let-7a-5p"
"77","AC007620.3","MIRLET7A3","hsa-let-7a-5p"
"78","AC007969.1","MIRLET7A1","hsa-let-7a-5p"
"79","AC007969.1","MIRLET7A2","hsa-let-7a-5p"
"80","AC007969.1","MIRLET7A3","hsa-let-7a-5p"
"81","AC008567.1","MIRLET7A1","hsa-let-7a-5p"
"82","AC008567.1","MIRLET7A2","hsa-let-7a-5p"
"83","AC008567.1","MIRLET7A3","hsa-let-7a-5p"
"84","AC010615.1","MIRLET7A1","hsa-let-7a-5p"
"85","AC010615.1","MIRLET7A2","hsa-let-7a-5p"
"86","AC010615.1","MIRLET7A3","hsa-let-7a-5p"
"87","AC011037.1","MIRLET7A1","hsa-let-7a-5p"
"88","AC011037.1","MIRLET7A2","hsa-let-7a-5p"
"89","AC011037.1","MIRLET7A3","hsa-let-7a-5p"
"90","AC011416.3","MIRLET7A1","hsa-let-7a-5p"
"91","AC011416.3","MIRLET7A2","hsa-let-7a-5p"
"92","AC011416.3","MIRLET7A3","hsa-let-7a-5p"
"93","AC012370.2","MIRLET7A1","hsa-let-7a-5p"
"94","AC012370.2","MIRLET7A2","hsa-let-7a-5p"
"95","AC012370.2","MIRLET7A3","hsa-let-7a-5p"
"96","AC012618.1","MIRLET7A1","hsa-let-7a-5p"
"97","AC012618.1","MIRLET7A2","hsa-let-7a-5p"
"98","AC012618.1","MIRLET7A3","hsa-let-7a-5p"
"99","AC016355.1","MIRLET7A1","hsa-let-7a-5p"
"100","AC016355.1","MIRLET7A2","hsa-let-7a-5p"
"101","AC016355.1","MIRLET7A3","hsa-let-7a-5p"
"102","AC016629.3","MIRLET7A1","hsa-let-7a-5p"
"103","AC016629.3","MIRLET7A2","hsa-let-7a-5p"
"104","AC016629.3","MIRLET7A3","hsa-let-7a-5p"
"105","AC016876.2","MIRLET7A1","hsa-let-7a-5p"
"106","AC016876.2","MIRLET7A2","hsa-let-7a-5p"
"107","AC016876.2","MIRLET7A3","hsa-let-7a-5p"
"108","AC018735.1","MIRLET7A1","hsa-let-7a-5p"
"109","AC018735.1","MIRLET7A2","hsa-let-7a-5p"
"110","AC018735.1","MIRLET7A3","hsa-let-7a-5p"
"111","AC019197.1","MIRLET7A1","hsa-let-7a-5p"
"112","AC019197.1","MIRLET7A2","hsa-let-7a-5p"
"113","AC019197.1","MIRLET7A3","hsa-let-7a-5p"
"114","AC025161.1","MIRLET7A1","hsa-let-7a-5p"
"115","AC025161.1","MIRLET7A2","hsa-let-7a-5p"
"116","AC025161.1","MIRLET7A3","hsa-let-7a-5p"
"117","AC025164.1","MIRLET7A1","hsa-let-7a-5p"
"118","AC025164.1","MIRLET7A2","hsa-let-7a-5p"
"119","AC025164.1","MIRLET7A3","hsa-let-7a-5p"
"120","AC025470.1","MIRLET7A1","hsa-let-7a-5p"
"121","AC025470.1","MIRLET7A2","hsa-let-7a-5p"
"122","AC025470.1","MIRLET7A3","hsa-let-7a-5p"
"123","AC051619.8","MIRLET7A1","hsa-let-7a-5p"
"124","AC051619.8","MIRLET7A2","hsa-let-7a-5p"
"125","AC051619.8","MIRLET7A3","hsa-let-7a-5p"
