"","lncRNA","MIRNA","addmir"
"2","HULC","MIR372","miR-372"
"3","HULC","MIR372","miR-372"
"4","BACE1-AS","MIR485","miR-485-5p"
"5","HOTAIR","MIR331","miR-331-3p"
"6","MRAK088388","MIR29B1","miR-29b-3p"
"7","MRAK088388","MIR29B2","miR-29b-3p"
"8","MRAK081523","MIRLET7I","let-7i"
"9","MRAK081523","MIRLET7I","let-7i"
"10","lincRNA-ROR","MIR145","miR-145"
"11","lincRNA-ROR","MIR145","miR-145"
"12","PTCSC3","MIR574","miR-574-5p"
"13","AK020764","MIR142","miR-142-3p"
"14","AK020764","MIR142","miR-142-5p"
"15","H19","MIRLET7B","let-7b"
"16","H19","MIRLET7B","let-7b"
"17","H19","MIRLET7C","let-7c"
"18","H19","MIRLET7C","let-7c"
"19","H19","MIRLET7E","let-7e"
"20","H19","MIRLET7E","let-7e"
"21","H19","MIRLET7I","let-7i"
"22","H19","MIRLET7I","let-7i"
"23","GAS5","MIR21","miR-21"
"24","GAS5","MIR21","miR-21"
"25","CARL","MIR539","miR-539"
"26","CARL","MIR539","miR-539"
"27","CHRF","MIR489","miR-489"
"28","CHRF","MIR489","miR-489"
"29","lincRNA-p21","MIRLET7B","let-7b"
"30","lincRNA-p21","MIRLET7B","let-7b"
"31","lincRNA-p21","MIRLET7C","let-7c"
"32","lincRNA-p21","MIRLET7C","let-7c"
"33","lincRNA-p21","MIRLET7E","let-7e"
"34","lincRNA-p21","MIRLET7E","let-7e"
"35","HOTAIR","MIR130A","miR-130a"
"36","HOTAIR","MIR130A","miR-130a"
"37","lincRNA-ROR","MIR205","miR-205"
"38","lincRNA-ROR","MIR205","miR-205"
"39","HOST2","MIRLET7B","let-7b"
"40","HOST2","MIRLET7B","let-7b"
"41","CASC2","MIR21","miR-21"
"42","CASC2","MIR21","miR-21"
"43","H19","MIR141","miR-141"
"44","H19","MIR141","miR-141"
"45","H19","MIR200A","miR-200a"
"46","H19","MIR200A","miR-200a"
"47","MIAT","MIR150","miR-150-5p"
"48","CCAT2","MIR424","miR-424"
"49","CCAT2","MIR424","miR-424"
