"","lncRNA","miRNA","MIRNA"
"1","ZNF436-AS1","hsa-let-7a-5p","MIRLET7A1"
"2","ZNF436-AS1","hsa-let-7a-5p","MIRLET7A2"
"3","ZNF436-AS1","hsa-let-7a-5p","MIRLET7A3"
"4","SNHG12","hsa-let-7a-5p","MIRLET7A1"
"5","SNHG12","hsa-let-7a-5p","MIRLET7A2"
"6","SNHG12","hsa-let-7a-5p","MIRLET7A3"
"7","AL050341.2","hsa-let-7a-5p","MIRLET7A1"
"8","AL050341.2","hsa-let-7a-5p","MIRLET7A2"
"9","AL050341.2","hsa-let-7a-5p","MIRLET7A3"
"10","AL360270.2","hsa-let-7a-5p","MIRLET7A1"
"11","AL360270.2","hsa-let-7a-5p","MIRLET7A2"
"12","AL360270.2","hsa-let-7a-5p","MIRLET7A3"
"13","AC239868.1","hsa-let-7a-5p","MIRLET7A1"
"14","AC239868.1","hsa-let-7a-5p","MIRLET7A2"
"15","AC239868.1","hsa-let-7a-5p","MIRLET7A3"
"16","AC234582.1","hsa-let-7a-5p","MIRLET7A1"
"17","AC234582.1","hsa-let-7a-5p","MIRLET7A2"
"18","AC234582.1","hsa-let-7a-5p","MIRLET7A3"
"19","AL590666.2","hsa-let-7a-5p","MIRLET7A1"
"20","AL590666.2","hsa-let-7a-5p","MIRLET7A2"
"21","AL590666.2","hsa-let-7a-5p","MIRLET7A3"
"22","MIR29B2CHG","hsa-let-7a-5p","MIRLET7A1"
"23","MIR29B2CHG","hsa-let-7a-5p","MIRLET7A2"
"24","MIR29B2CHG","hsa-let-7a-5p","MIRLET7A3"
"25","AL359924.1","hsa-let-7a-5p","MIRLET7A1"
"26","AL359924.1","hsa-let-7a-5p","MIRLET7A2"
"27","AL359924.1","hsa-let-7a-5p","MIRLET7A3"
"28","AC074117.1","hsa-let-7a-5p","MIRLET7A1"
"29","AC074117.1","hsa-let-7a-5p","MIRLET7A2"
"30","AC074117.1","hsa-let-7a-5p","MIRLET7A3"
"31","LINC01806","hsa-let-7a-5p","MIRLET7A1"
"32","LINC01806","hsa-let-7a-5p","MIRLET7A2"
"33","LINC01806","hsa-let-7a-5p","MIRLET7A3"
"34","AC105760.2","hsa-let-7a-5p","MIRLET7A1"
"35","AC105760.2","hsa-let-7a-5p","MIRLET7A2"
"36","AC105760.2","hsa-let-7a-5p","MIRLET7A3"
"37","LMCD1-AS1","hsa-let-7a-5p","MIRLET7A1"
