gene	p.value	fdr	ratio	test_type
A2M	3.98889095634893e-10	2.16698191411688e-08	0.206876146361788	t_test
AACS	2.1147995511871e-05	0.000109011828907444	1.65767613015031	t_test
AAMDC	0.00131801759281076	0.00363188802591591	0.633963485788485	t_test
AARD	3.82041220131425e-06	2.70537429525073e-05	0.0613444886213132	t_test
AARS2	7.76801908272556e-07	7.68078908777042e-06	1.62462120946515	t_test
AARSD1	0.000171436651362532	0.000638494951135473	1.9995680699416	t_test
AASS	1.15690794261281e-08	2.96175825691899e-07	0.591185166207072	t_test
ABCA12	0.0014111721685639	0.00385402951148689	3.57539239072916	t_test
ABCA4	0.0189119751389272	0.0354359071175549	9.44403845485035	t_test
ABCA6	1.95006917340707e-06	1.57837417035463e-05	0.471282085092607	t_test
ABCA7	0.00618511364788082	0.013725094339648	1.74087523902916	t_test
ABCA8	2.68655456993935e-11	2.65769898381778e-09	0.0955204795129586	t_test
ABCA9	9.34859255723079e-06	5.58406799560867e-05	0.299600195046478	t_test
ABCB1	1.913602078406e-07	2.60334354062263e-06	0.263475428691341	t_test
ABCB4	2.30618026369496e-07	3.00722904035602e-06	0.398215209558794	t_test
ABCB8	5.77382327125826e-07	6.10767602278449e-06	1.69721920233408	t_test
ABCB9	1.49791350229579e-06	1.28234838610002e-05	2.41046773574663	t_test
ABCC10	3.35303863645743e-05	0.000160837465393196	1.71998160386176	t_test
ABCC2	4.69364835506959e-05	0.000213694342438481	2.80528442755533	t_test
ABCC4	0.000207479999198546	0.000749006873987034	0.407832089872116	t_test
ABCC9	5.10359245681404e-06	3.42504910858048e-05	0.193756210001162	t_test
ABCD2	2.55202488923051e-07	3.2588646115385e-06	0.17714937758696	t_test
ABCF3	4.02094191475058e-05	0.000187651762160142	1.55588765677358	t_test
ABHD1	0.0022825435179908	0.00582594782640149	2.25837793530621	t_test
ABHD12	6.04191114519696e-05	0.000263691906353285	2.00983120007971	t_test
ABHD3	5.23017025127266e-05	0.000233934436078414	2.07094118594563	t_test
ABHD8	0.0106055956288166	0.021673715321017	1.55421487390948	t_test
ABI2	0.00534328225188764	0.0120999634546773	0.636397320742078	t_test
ABI3BP	9.25187496173175e-10	4.20659053131862e-08	0.100571987356826	t_test
ABL1	0.000184984108965228	0.000681820453145525	0.353738224510536	t_test
ABLIM1	8.57015156933938e-09	2.33580355527607e-07	0.355234889014585	t_test
ABLIM3	1.77733597907304e-06	1.4636991983877e-05	0.580301828482523	t_test
ABR	1.13899406746831e-05	6.58133654256747e-05	0.634399810186868	t_test
ABRA	0.000366767331088681	0.00121921038125434	0.142209837341812	t_test
