lnc	p.value	fdr	ratio	test_type
A2M-AS1	0.000415260845516099	0.00244393658902306	0.373514250608008	t_test
AATBC	0.00109416649168123	0.00520257156179707	4.44022105108076	t_test
AC000068.1	0.000352745968599119	0.00211905687965763	2.22330832153972	t_test
AC000403.1	0.00278638060740504	0.010689805975138	0.585970153995786	t_test
AC002059.1	0.0140601062065556	0.0386065123598066	3.11922914932689	t_test
AC002074.1	1.24472686387037e-06	2.7951678021048e-05	0.409895899161961	t_test
AC002116.2	0.000204829333018705	0.00139041914172702	4.03650744500212	t_test
AC002398.1	0.0117518770329026	0.0335398298169632	1.89376447984083	t_test
AC002451.1	9.27891245440181e-05	0.000766911455543344	0.457188969628344	t_test
AC002470.1	6.76234706153365e-05	0.000592728142795636	2.79576278532246	t_test
AC002550.2	0.000123089282037783	0.000954862682390741	2.14031240665382	t_test
AC003102.1	0.00415333773881883	0.0147083693036819	1.88204605432932	t_test
AC004034.1	0.00131338412151615	0.00598494929009115	4.12880432860476	t_test
AC004069.1	0.0111944975358295	0.0322291612282269	2.16500083059936	t_test
AC004076.2	0.000232517897537547	0.00153536617060316	2.07471498119217	t_test
AC004148.1	0.00384790051961327	0.0138456960990614	1.95534019773457	t_test
AC004233.2	0.0025691059456681	0.0100121961142097	5.28552937847492	t_test
AC004241.3	0.00650352915799129	0.0210765688370165	2.09608478993348	t_test
AC004253.1	0.000561416685245557	0.00307623870024429	2.43232735950641	t_test
AC004471.1	0.00167757073792908	0.00716093020367302	2.97494896807679	t_test
AC004803.1	0.000672146974934991	0.00354496359585628	0.349111543158242	t_test
AC004816.1	0.00153105921117282	0.00672192306081758	2.56405610553231	t_test
AC004817.5	0.0187242049794036	0.0486987506486494	3.36882123960316	t_test
AC004825.2	0.000424667952921169	0.00247503483405948	0.468140432636473	t_test
AC004834.1	4.48365834633888e-05	0.00042392516341776	3.91294458063198	t_test
AC004846.2	0.00794411645358954	0.0245808527954661	2.34287391060532	t_test
AC004893.2	0.00160289298400426	0.00692057561274861	2.68378516121553	t_test
AC004900.1	0.0149723740357429	0.0405241288461921	2.0492611459274	t_test
AC004908.2	0.00673812435571679	0.0216657967207969	1.78932752695647	t_test
AC004918.3	0.0187592882164315	0.0487580228437661	1.61110352444704	t_test
AC004923.4	0.00722582742110828	0.0228315752895313	2.31296292934338	t_test
AC004938.2	0.0022604242409728	0.00902337910132253	2.334821827279	t_test
AC004943.1	0.0181164580771647	0.0473681913418861	3.36730514539197	t_test
AC004943.2	0.000121270664815383	0.000946718375405031	2.15967331500875	t_test
AC004951.1	0.00286511572074583	0.0108900926237608	2.29344778209627	t_test
AC004967.2	0.00755830700228716	0.0236395049481057	1.99253743613616	t_test
AC004982.2	0.0189475385803414	0.049046544953632	2.06425304437849	t_test
AC005005.4	0.00718219806244821	0.0227228693998843	2.08908031571501	t_test
AC005041.3	1.29073092004036e-06	2.85118408615193e-05	7.21232651294686	t_test
AC005062.1	4.81335304032247e-08	2.17528230060812e-06	0.233964955412911	t_test
AC005165.1	0.000695378877590194	0.00364020866207151	0.49913423969949	t_test
AC005180.1	7.62938275507054e-08	3.08051962717029e-06	0.0300012367918485	t_test
AC005180.2	8.33673066475443e-09	5.54955881818653e-07	0.0338913358963089	t_test
AC005225.1	0.0122107676975365	0.0346288092562262	0.623901151057826	t_test
AC005229.4	0.00366444588309053	0.0133513760503727	1.52012869123156	t_test
AC005261.2	0.00717708846175173	0.0227212967625893	2.34802912249601	t_test
AC005330.1	0.000743965103733972	0.00383059213923842	0.611905817903652	t_test
AC005332.2	1.30949907312247e-06	2.87972876526844e-05	0.624047814235417	t_test
AC005332.5	0.000604972470843671	0.00326406833666585	1.64468363724471	t_test
AC005332.7	0.00189682901030688	0.00785851951620832	0.627020587075755	t_test
AC005387.1	0.00287172820561903	0.0109068104401537	2.69679155815131	t_test
AC005387.2	0.0130857736581936	0.03637726921008	1.98738049976828	t_test
AC005476.2	1.10644367747472e-05	0.000143053584127046	2.03834349905371	t_test
AC005519.1	0.0102728218851746	0.0300676890115093	2.35928607115326	t_test
AC005520.2	0.00426715737539418	0.0150465406092997	0.543764845072294	t_test
AC005606.2	0.00126279294967657	0.00582991384264929	2.43719815166601	t_test
AC005670.3	0.0125330688811413	0.0351582558704453	0.406217397799761	t_test
AC005696.3	0.0093840695999224	0.027931073624905	0.482271764501424	t_test
AC005740.4	7.07150601848155e-06	0.000101557547075919	0.633899271567351	t_test
AC005775.1	0.0062992799204513	0.0205634545315726	2.27932602890046	t_test
AC005790.1	0.000172961484662096	0.00123300763161431	0.475348441650578	t_test
AC005837.1	0.0019814581473069	0.00810013513164629	2.59181991243099	t_test
AC005840.2	3.50298964021939e-06	5.90949553689066e-05	2.19241906547399	t_test
AC005840.4	0.00930137931293727	0.0277840320857379	1.747934969361	t_test
AC005914.1	0.00461320031111704	0.0160100193935092	2.46212257406619	t_test
AC005962.2	0.00128782060869142	0.00591772790896824	3.10875561563776	t_test
AC005972.3	0.000565520802363455	0.00309528385826931	3.92099623428707	t_test
AC006017.1	0.00847376643235878	0.0258303053501234	2.53781752735738	t_test
AC006058.1	0.00725173418158465	0.0228893913764459	5.88736296600551	t_test
AC006111.2	0.000452597015725033	0.00260454777974476	2.26136767516955	t_test
AC006115.2	0.00353240481675089	0.0129661893646162	0.583131067961165	t_test
AC006160.1	0.0168553810658404	0.0445198965846273	1.94168599696212	t_test
AC006213.3	0.0105446623058281	0.0306810434249908	2.3105513513379	t_test
AC006237.1	0.00367104256671472	0.0133642158644307	0.612968300057692	t_test
AC006252.1	1.08870952226873e-06	2.47142078649575e-05	2.9754740005846	t_test
AC006262.1	7.24149180327428e-05	0.00062362917172953	10.4416360997423	t_test
AC006449.5	0.000115124323846027	0.000910276756445468	3.148302361843	t_test
AC006449.6	0.00197386605986766	0.00808467409911458	1.66907602947178	t_test
AC006460.1	4.15562295304454e-06	6.75597315732588e-05	17.4227876839509	t_test
AC006480.2	0.00473508020173841	0.0163226067696035	1.83495421761269	t_test
AC006504.5	0.00298876167832517	0.0112300839263385	1.6294650432672	t_test
AC006504.7	0.00774560027449692	0.0241028597297358	1.91822837934657	t_test
AC006547.1	0.0002863275766223	0.00180364404404278	1.79110327801518	t_test
AC006557.1	0.00924245506472013	0.0277611790541533	2.27625787744826	t_test
AC007014.2	0.000830933529423383	0.00416820627896088	3.43702893809644	t_test
AC007038.1	0.00086890914948361	0.00433223326959136	1.82062642468492	t_test
AC007114.2	0.000852970092989003	0.00426705630291154	0.431057130279708	t_test
AC007240.3	0.0166614507106081	0.0441000375458902	2.39713469091475	t_test
AC007292.1	0.000754131378533407	0.00386159165348811	1.93731607273633	t_test
AC007292.2	0.00253564377171925	0.00992103353414537	1.78288429685536	t_test
AC007319.1	1.58308723446044e-05	0.000184793547795074	1.6103250675269	t_test
AC007406.3	0.000129201556482453	0.000988271532969821	4.88537568449598	t_test
AC007497.1	0.00514393923368592	0.0174631719134322	2.72038376732281	t_test
AC007613.1	0.000580238479692873	0.0031617862289459	2.6072257751972	t_test
AC007622.2	0.00953948350743876	0.028291087150899	2.56711525018899	t_test
AC007637.1	3.11636222003317e-05	0.000314476479353755	0.253582100802693	t_test
AC007681.1	1.8782646829689e-07	6.38091850227916e-06	0.633916501787076	t_test
AC007686.3	0.00456394043013566	0.015879655109742	0.592412867268691	t_test
AC007773.1	1.36852048924079e-06	2.96974974889874e-05	3.8779249912967	t_test
AC007785.3	0.0108422056158699	0.0314538897902092	2.3683253938131	t_test
AC007877.1	1.45240808600538e-06	3.13796589108005e-05	0.379307954656208	t_test
AC007881.3	0.00904854844072466	0.0272452014786123	2.71997556082283	t_test
AC007881.4	0.0157454084245453	0.0421531966844077	2.61055540915079	t_test
AC007920.2	4.08763455511622e-11	9.1525853720466e-09	0.159860851921547	t_test
AC007938.3	0.000108103947950365	0.000862038616889961	4.37349539136418	t_test
AC008050.1	2.72250451076891e-07	8.22764246628691e-06	0.534305565918417	t_test
AC008105.1	1.0925271111013e-05	0.000141626014454869	4.41786177678501	t_test
AC008115.3	0.0064637208496046	0.0210028290931084	2.58889426744596	t_test
AC008264.2	0.0124131846911539	0.0349813202452082	2.41902610273121	t_test
AC008269.1	2.28883300317367e-05	0.00024956706924792	0.587095917299852	t_test
AC008438.1	0.00635825172627401	0.0207147804256784	1.52346684756734	t_test
AC008453.2	0.000707624010269215	0.00368539668322569	0.569577806885919	t_test
AC008537.2	4.49781222061846e-06	7.17029870510243e-05	0.511002385012415	t_test
AC008543.1	0.00617529611849151	0.0202932012539621	2.25967212609328	t_test
AC008608.2	0.0118123105589266	0.0336732880863846	1.63652260126407	t_test
AC008610.1	0.00195678923174055	0.00804339697002095	2.01458142060366	t_test
AC008663.2	0.0115759670562063	0.0331723174629855	0.6316913584023	t_test
AC008735.2	3.9242999982301e-05	0.000378299447970283	3.07785892402405	t_test
AC008736.1	4.31802373817602e-06	6.99690293889969e-05	4.26397879328512	t_test
AC008763.1	0.00375667726944059	0.0135969083242207	2.92539876666477	t_test
AC008764.2	0.0166695635222183	0.0441000375458902	0.539831125310342	t_test
AC008764.6	1.94720092130954e-07	6.48102144484512e-06	3.17119191863754	t_test
AC008764.8	0.00185760647179046	0.00772199956121504	1.92365885049611	t_test
AC008771.1	0.000587515289970268	0.0031943712123549	2.01404437591702	t_test
AC008870.2	2.37933792828628e-05	0.000256328017433413	2.96134358968848	t_test
AC008875.1	0.0144729346656841	0.0394323430105972	2.28202723928191	t_test
AC008883.3	0.0129066289279454	0.0360011631365	4.19064015865524	t_test
AC008897.3	0.0171687782030802	0.0452990902133759	2.2449399239875	t_test
AC008915.2	0.000293078821598166	0.0018367764315427	2.16802848678201	t_test
AC008966.2	0.000189587569202071	0.00132523112514132	0.413879898929828	t_test
AC009005.1	3.04964897457088e-05	0.00030910639606453	6.08589223923619	t_test
AC009065.4	0.000332319689245718	0.00202599850151535	1.9034603643819	t_test
AC009065.5	0.00959066578251401	0.0283807443061706	2.84922653950997	t_test
AC009065.8	1.79798391365801e-05	0.00020549579486495	1.94256003513743	t_test
AC009093.6	0.00483381580191494	0.0165935526178147	0.514442705522753	t_test
AC009120.5	0.00360136883473333	0.0131800467161192	2.77378860192166	t_test
AC009121.3	0.00931972154911184	0.0278067524839037	2.51964028048916	t_test
AC009133.1	0.000172832288451645	0.00123300763161431	2.55899131777506	t_test
AC009148.1	1.70744762966205e-05	0.000196976276901997	4.45594289105616	t_test
AC009237.14	0.000298360717721933	0.00185976470056491	2.6678966844303	t_test
AC009262.1	0.00966159924996323	0.0285463820473598	2.8367405704049	t_test
AC009268.2	0.0127049528625851	0.0355594305688035	2.50818523755632	t_test
