miRNA	p.value	fdr	ratio	test_type
MIR221	2.26855886887885e-11	3.96997802053799e-10	0.106664314875665	t_test
MIR25	0.00110662540124027	0.0077463778086819	3.49733565089193	t_test
MIR3671	0.000111664062719318	0.00130274739839205	0.596132179472979	t_test
MIR3685	0.0111198094696852	0.0432437034932203	1.82124072222924	t_test
MIR4292	0.012725762006732	0.0445401670235619	2.44131931168694	t_test
MIR4477B	0.00273603884228254	0.0119701699349861	3.82439094380932	t_test
MIR4653	0.000568709090853158	0.00497620454496513	5.42781147350046	t_test
MIR573	0.00219149855206542	0.0119701699349861	0.651594607054364	t_test
MIR647	0.0024641423744027	0.0119701699349861	3.57123446431725	t_test
MIR222	8.98734318086155e-06	0.016554686139147	0.343104596935376	fisher
MIR4269	9.29667657796213e-08	0.000171430716097622	0.312452601243743	fisher
MIR6753	1.12672014752186e-05	0.0207429179158775	5.16290726817043	fisher
MIR7111	1.37491055840604e-06	0.00253396015914233	10.8421052631579	fisher
