lncRNA,miRNA,gene,immune_cell,algo,algo_num,cancer
AC092368.3,MIR125B1,ADRM1,B.cell,TIMER,1,BLCA
AC092368.3,MIR125B1,ADRM1,Neutrophil,TIMER,1,BLCA
AC092368.3,MIR125B1,ADRM1,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
AC092368.3,MIR125B1,ADRM1,Endothelial.cell,MCPCOUNTER; XCELL,2,BLCA
AC092368.3,MIR125B1,HDGF,T.cell.CD8.,TIMER,1,BLCA
AC092368.3,MIR125B1,HDGF,Neutrophil,TIMER,1,BLCA
AC092368.3,MIR125B1,HDGF,Macrophage,TIMER,1,BLCA
AC092368.3,MIR125B1,HDGF,Myeloid.dendritic.cell,TIMER,1,BLCA
AC092368.3,MIR125B1,HDGF,T.cell.regulatory..Tregs.,QUANTISEQ,1,BLCA
AC092368.3,MIR125B1,HDGF,Endothelial.cell,MCPCOUNTER; XCELL,2,BLCA
AC092368.3,MIR125B1,TOR2A,B.cell,TIMER,1,BLCA
AC092368.3,MIR125B1,TOR2A,Macrophage,TIMER,1,BLCA
AC092368.3,MIR125B1,TOR2A,Myeloid.dendritic.cell,TIMER,1,BLCA
AC092368.3,MIR125B1,TOR2A,Endothelial.cell,MCPCOUNTER; XCELL,2,BLCA
AC100861.1,MIR425,HDGF,Myeloid.dendritic.cell,QUANTISEQ,1,BLCA
AC100861.1,MIR425,HDGF,Eosinophil,XCELL,1,BLCA
AC100861.1,MIR425,HDGF,Macrophage,EPIC,1,BLCA
AC100861.1,MIR425,MICA,Myeloid.dendritic.cell,QUANTISEQ,1,BLCA
AC100861.1,MIR425,MICA,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
AC100861.1,MIR425,MICA,Eosinophil,XCELL,1,BLCA
AC100861.1,MIR425,MICA,Monocyte,XCELL,1,BLCA
AC100861.1,MIR425,MICA,T.cell.CD8.,EPIC,1,BLCA
AC100861.1,MIR425,MICA,Macrophage,EPIC,1,BLCA
AC100861.1,MIR425,RAC1,Myeloid.dendritic.cell,QUANTISEQ,1,BLCA
AC100861.1,MIR425,RAC1,Eosinophil,XCELL,1,BLCA
AC129507.1,MIR210,BTK,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
AC129507.1,MIR210,BTK,Neutrophil,TIMER,1,BLCA
AC129507.1,MIR210,BTK,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AC129507.1,MIR210,BTK,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
AC129507.1,MIR210,BTK,Monocyte,CIBERSORT.ABS; MCPCOUNTER; XCELL,3,BLCA
AC129507.1,MIR210,BTK,B.cell,QUANTISEQ; MCPCOUNTER; XCELL; EPIC,4,BLCA
AC129507.1,MIR210,BTK,T.cell.regulatory..Tregs.,QUANTISEQ,1,BLCA
AC129507.1,MIR210,BTK,cytotoxicity.score,MCPCOUNTER,1,BLCA
AC129507.1,MIR210,BTK,NK.cell,MCPCOUNTER; EPIC,2,BLCA
AC129507.1,MIR210,BTK,Endothelial.cell,MCPCOUNTER; XCELL; EPIC,3,BLCA
AC129507.1,MIR210,BTK,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
AC129507.1,MIR210,BTK,immune.score,XCELL,1,BLCA
AC129507.1,MIR210,BTK,stroma.score,XCELL,1,BLCA
AC129507.1,MIR210,BTK,microenvironment.score,XCELL,1,BLCA
AC129507.1,MIR210,BTK,T.cell.CD4.,EPIC,1,BLCA
AL365181.2,MIR145,VEGFA,T.cell.CD4.,TIMER,1,BLCA
AL365181.2,MIR145,VEGFA,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
AL365181.2,MIR145,VEGFA,Neutrophil,TIMER,1,BLCA
AL365181.2,MIR145,VEGFA,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AL365181.2,MIR145,VEGFA,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
AL365181.2,MIR145,VEGFA,B.cell,QUANTISEQ; MCPCOUNTER; XCELL; EPIC,4,BLCA
AL365181.2,MIR145,VEGFA,T.cell.regulatory..Tregs.,QUANTISEQ,1,BLCA
AL365181.2,MIR145,VEGFA,NK.cell,MCPCOUNTER; EPIC,2,BLCA
AL365181.2,MIR145,VEGFA,Monocyte,MCPCOUNTER; XCELL,2,BLCA
AL365181.2,MIR145,VEGFA,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
AL365181.2,MIR145,VEGFA,Endothelial.cell,XCELL,1,BLCA
AL365181.2,MIR145,VEGFA,immune.score,XCELL,1,BLCA
AL365181.2,MIR145,VEGFA,stroma.score,XCELL,1,BLCA
AL365181.2,MIR145,VEGFA,microenvironment.score,XCELL,1,BLCA
AL390955.2,MIR141,HMGB1,T.cell.CD8.,TIMER,1,BLCA
AL390955.2,MIR141,HMGB1,Macrophage,TIMER,1,BLCA
AL390955.2,MIR141,HMGB1,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
AL390955.2,MIR141,HMGB1,Cancer.associated.fibroblast,XCELL,1,BLCA
AL390955.2,MIR141,HMGB1,Monocyte,XCELL,1,BLCA
AL390955.2,MIR141,HMGB1,stroma.score,XCELL,1,BLCA
AL390955.2,MIR141,HMGB1,microenvironment.score,XCELL,1,BLCA
AL390955.2,MIR141,ICAM1,T.cell.CD8.,TIMER,1,BLCA
AL390955.2,MIR141,ICAM1,Neutrophil,TIMER,1,BLCA
AL390955.2,MIR141,ICAM1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,ICAM1,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
