lncRNA,miRNA,gene,immune_cell,algo,r_lnc,p_lnc,r_miR,p_miR,r_gene,p_gene,cancer
AC092368.3,MIR125B1,ADRM1,B.cell,TIMER,0.204666035,2.12E-05,-0.126457433,0.009059688,0.101760352,0.035983711,BLCA
AC092368.3,MIR125B1,ADRM1,Neutrophil,TIMER,0.295168682,5.44E-10,0.133831992,0.005721442,0.102782667,0.034150397,BLCA
AC092368.3,MIR125B1,ADRM1,Myeloid.dendritic.cell,TIMER,0.246359845,2.70E-07,0.143046316,0.003121592,0.185281925,0.000122161,BLCA
AC092368.3,MIR125B1,ADRM1,Myeloid.dendritic.cell,MCPCOUNTER,0.155765666,0.001275579,0.151524624,0.001732259,-0.120216348,0.013137333,BLCA
AC092368.3,MIR125B1,ADRM1,Endothelial.cell,MCPCOUNTER,0.1007301,0.037915185,0.188372284,9.35E-05,-0.179810539,0.000194244,BLCA
AC092368.3,MIR125B1,ADRM1,Endothelial.cell,XCELL,-0.118311759,0.014668856,0.11862116,0.014409863,-0.232343719,1.28E-06,BLCA
AC092368.3,MIR125B1,HDGF,T.cell.CD8.,TIMER,0.128768244,0.007863371,0.13609716,0.00494585,0.222961205,3.46E-06,BLCA
AC092368.3,MIR125B1,HDGF,Neutrophil,TIMER,0.295168682,5.44E-10,0.133831992,0.005721442,0.25790999,6.94E-08,BLCA
AC092368.3,MIR125B1,HDGF,Macrophage,TIMER,0.172393634,0.000356594,0.149726783,0.001967661,0.177025929,0.000244701,BLCA
AC092368.3,MIR125B1,HDGF,Myeloid.dendritic.cell,TIMER,0.246359845,2.70E-07,0.143046316,0.003121592,0.275713683,7.49E-09,BLCA
AC092368.3,MIR125B1,HDGF,T.cell.regulatory..Tregs.,QUANTISEQ,0.185401598,0.00012091,0.17292388,0.000341713,0.10306592,0.03365674,BLCA
AC092368.3,MIR125B1,HDGF,Endothelial.cell,MCPCOUNTER,0.1007301,0.037915185,0.188372284,9.35E-05,-0.159928718,0.000937552,BLCA
AC092368.3,MIR125B1,HDGF,Endothelial.cell,XCELL,-0.118311759,0.014668856,0.11862116,0.014409863,-0.312969013,4.12E-11,BLCA
AC092368.3,MIR125B1,TOR2A,B.cell,TIMER,0.204666035,2.12E-05,-0.126457433,0.009059688,0.11351062,0.019244562,BLCA
AC092368.3,MIR125B1,TOR2A,Macrophage,TIMER,0.172393634,0.000356594,0.149726783,0.001967661,0.171803494,0.000373864,BLCA
AC092368.3,MIR125B1,TOR2A,Myeloid.dendritic.cell,TIMER,0.246359845,2.70E-07,0.143046316,0.003121592,0.15202967,0.001670938,BLCA
AC092368.3,MIR125B1,TOR2A,Endothelial.cell,MCPCOUNTER,0.1007301,0.037915185,0.188372284,9.35E-05,-0.188064279,9.60E-05,BLCA
AC092368.3,MIR125B1,TOR2A,Endothelial.cell,XCELL,-0.118311759,0.014668856,0.11862116,0.014409863,-0.26731265,2.18E-08,BLCA
