"","ceRNA","log_rank_p","cancer","sur_sig"
"1","AC092368.3-MIR125B1-ADRM1",0.336179228752325,"BLCA","no_sig"
"2","AC092368.3-MIR125B1-HDGF",0.185729588879136,"BLCA","no_sig"
"3","AC092368.3-MIR125B1-TOR2A",0.345518562716867,"BLCA","no_sig"
"4","AC100861.1-MIR425-HDGF",0.185729588879136,"BLCA","no_sig"
"5","AC100861.1-MIR425-MICA",0.350861233800908,"BLCA","no_sig"
"6","AC100861.1-MIR425-RAC1",0.530708193995335,"BLCA","no_sig"
"7","AC129507.1-MIR210-BTK",0.242404759249197,"BLCA","no_sig"
"8","AL365181.2-MIR145-VEGFA",0.000777411515084592,"BLCA","sig"
"9","AL390955.2-MIR141-HMGB1",0.114117091224426,"BLCA","no_sig"
"10","AL390955.2-MIR141-ICAM1",0.762535812271364,"BLCA","no_sig"
"11","AL390955.2-MIR141-MICB",0.218645120816827,"BLCA","no_sig"
"12","AL390955.2-MIR141-PSMC2",0.0666673197244101,"BLCA","no_sig"
"13","AL390955.2-MIR141-SHC1",0.33839982987077,"BLCA","no_sig"
"14","AL390955.2-MIR141-TNFAIP3",0.103185509910663,"BLCA","no_sig"
"15","INHBA-AS1-MIR141-HDGF",0.185729588879136,"BLCA","no_sig"
"16","INHBA-AS1-MIR141-ICAM1",0.581827154722174,"BLCA","no_sig"
"17","INHBA-AS1-MIR141-MICB",0.271960548280808,"BLCA","no_sig"
"18","INHBA-AS1-MIR141-PSMC2",0.0881089438093976,"BLCA","no_sig"
"19","INHBA-AS1-MIR141-SHC1",0.33839982987077,"BLCA","no_sig"
"20","INHBA-AS1-MIR141-TNFAIP3",0.192348103605806,"BLCA","no_sig"
"21","LINC00460-MIR149-BIRC5",0.123907277345137,"BLCA","no_sig"
"22","LINC00460-MIR149-CD3D",0.00478593056294385,"BLCA","sig"
"23","LINC00460-MIR149-FASLG",0.000403814660068558,"BLCA","sig"
"24","LINC00460-MIR149-HLA-A",0.501256266312845,"BLCA","no_sig"
"25","LINC00460-MIR149-HLA-C",0.442875747471759,"BLCA","no_sig"
"26","LINC00460-MIR149-HSPA8",0.235363914165826,"BLCA","no_sig"
"27","LINC00460-MIR149-IFI30",0.000494005132785302,"BLCA","sig"
"28","LINC00460-MIR149-MICB",0.0119516438000822,"BLCA","sig"
"29","LINC00460-MIR149-PLXND1",0.0549462841629312,"BLCA","no_sig"
"30","LINC00460-MIR149-PSMD1",0.0196876781027213,"BLCA","sig"
"31","LINC00460-MIR149-S1PR2",0.195463916706721,"BLCA","no_sig"
"32","LINC00943-MIR149-BIRC5",0.0980504103053964,"BLCA","no_sig"
"33","LINC00943-MIR149-CD3D",0.0101464944771315,"BLCA","sig"
"34","LINC00943-MIR149-FASLG",0.00797202930852425,"BLCA","sig"
"35","LINC00943-MIR149-HLA-A",0.5156133133572,"BLCA","no_sig"
"36","LINC00943-MIR149-HLA-C",0.442875747471759,"BLCA","no_sig"
"37","LINC00943-MIR149-HSPA8",0.235363914165826,"BLCA","no_sig"
"38","LINC00943-MIR149-IFI30",2.12150202512085e-05,"BLCA","sig"
"39","LINC00943-MIR149-MICB",0.0440837638570813,"BLCA","sig"
"40","LINC00943-MIR149-PLXND1",0.209708825423267,"BLCA","no_sig"
"41","LINC00943-MIR149-PSMD1",0.0145022812561496,"BLCA","sig"
"42","LINC00943-MIR149-S1PR2",0.193265976169874,"BLCA","no_sig"
